//note**, this file must! be SORTED by service id,
//each line is <Service_ID, Ranking> tuple
//first line is header: #entries, reservedWord
117,0x00
0X0001,2
0X0002,28
0X0003,71
0X0004,37
0X0005,38
0X0006,39
0X000B,70
0X000C,69
0X000D,72
0X000E,1
0X000F,59
0X0010,114
0X0020,3
0X0021,73
0X0022,74
0X0023,75
0X0040,4
0X0041,76
0X0042,77
0X0043,78
0X0060,5
0X0061,61
0X0062,62
0X0063,63
0X0064,60
0X0080,6
0X0081,47
0X0082,45
0X0083,48
0X0084,46
0X00A0,11
0X00A1,49
0X00B0,7
0X00B1,68
0X00B2,67
0X00D0,8
0X00D1,81
0X00E0,9
0X00E1,64
0X00E2,65
0X0100,10
0X0101,58
0X0102,57
0X0103,50
0X0104,51
0X0105,52
0X0106,53
0X0107,54
0X0108,55
0X0109,56
0X0202,12
0X0203,66
0X0205,31
0X4002,106
0X4003,105
0X4004,104
0X4005,107
0X4006,108
0X4007,101
0X4008,35
0X4009,116
0X400A,30
0X400B,112
0X400C,40
0X400D,41
0X400E,33
0X400F,111
0X4010,32
0X4011,86
0X4012,44
0X4013,27
0X4014,115
0X4015,19
0X4016,20
0X4017,117
0X4018,13
0X4019,110
0X401A,97
0X401B,21
0X401C,96
0X401D,95
0X401E,94
0X401F,99
0X4020,42
0X4021,43
0X4022,29
0X4023,90
0X4024,36
0X4025,34
0X4026,82
0X40C0,91
0X4600,24
0X4601,22
0X4603,16
0X4604,14
0X4680,23
0X4681,15
0X4781,87
0X4782,88
0X4783,89
0X4800,103
0X4880,25
0X4881,18
0X4882,92
0X4883,113
0X4A80,93
0X4B00,79
0X4C80,26
0X4C81,17
0X4C82,98
0X4D80,80
0X4D81,109
0X4E00,83
0X4E01,84
0X4E02,85
0X4E03,100
0X4E04,102
